cell_id,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDBI,NDWI,BSI,VV,VH,VH_VV_diff_db,ghs_built,viirs_radiance,elevacion,pendiente_grados,poblacion,vias_long_m,dist_via_principal_m,n_edificios,area_total_m2,area_media_m2,area_std_m2,compacidad_media,es_positivo,es_negativo,etiqueta,centroid_x_utm,centroid_y_utm
5806,0.1287,0.1815,0.2026,0.248,0.2934,0.3074,0.3144,0.3378,0.3478,0.28,0.21624757,0.050437935,-0.26799756,0.10800206,-7.3117259754933706,-13.944568004628987,-6.632842029135617,1739,39.829647,4.7593303,0.5953901,81.851326,577.7549292058933,584.7850056937029,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1144047.7220254834
5807,0.0501,0.08235,0.0669,0.1266,0.27825,0.325,0.32665,0.35655,0.21255,0.12225,0.66001785,-0.21160978,-0.59731054,-0.14827795,-7.704823151264062,-14.194392957545663,-6.489569806281601,1574,39.829647,3.89468,0.6413788,86.45281,269.81129735298686,621.9564879848066,0.0,0.0,0.0,0.0,0.0,True,False,1.0,446548.27082237665,1144147.7220254834
5808,0.04395,0.07575,0.05615,0.1243,0.27545,0.31905,0.32255,0.347,0.21145,0.1166,0.70345926,-0.20805244,-0.6196335,-0.15596908,-8.092783297572632,-12.824676337521545,-4.731893039948913,1800,39.829647,6.559175,2.8353233,92.56052,200.0000939946297,659.9449499832508,0.0,0.0,0.0,0.0,0.0,True,False,1.0,446548.27082237665,1144247.7220254834
5809,0.0845,0.1205,0.1287,0.1677,0.2096,0.2347,0.2214,0.2581,0.2813,0.2111,0.26478148,0.11915659,-0.29511553,0.14541143,-10.307169706305775,-16.33673882221379,-6.029569115908014,1734,39.829647,6.53164,2.5474029,93.02614,442.0040065695288,698.9392243966511,0.0,0.0,0.0,0.0,0.0,True,False,1.0,446548.27082237665,1144347.7220254834
5810,0.1365,0.1706,0.1935,0.2119,0.2436,0.2628,0.2664,0.2749,0.3262,0.2961,0.15851274,0.10091124,-0.219222,0.12659872,-7.222357108775354,-12.597187452765606,-5.3748303439902525,1677,39.829647,7.7408147,1.0887809,94.46372,752.0607852429206,741.1403819761836,0.0,0.0,0.0,0.0,0.0,True,False,1.0,446548.27082237665,1144447.7220254834
5811,0.0877,0.1141,0.1168,0.1779,0.2702,0.3017,0.3073,0.3267,0.2931,0.2055,0.44918647,-0.023650903,-0.45847175,0.018511614,-7.893815753350403,-13.03943989641234,-5.145624143061936,2580,55.669613,5.5342355,1.3345252,95.10298,666.7815925263196,787.6483440946122,0.0,0.0,0.0,0.0,0.0,True,False,1.0,446548.27082237665,1144547.7220254834
5812,0.1411,0.20015,0.2431,0.26795,0.3032,0.33195,0.3278,0.33895,0.37825,0.3007,0.14836223,0.071453854,-0.24178427,0.13983028,-7.766560108545775,-11.553049509302056,-3.786489400756281,429,55.669613,5.6920867,0.6711444,95.40989,553.3141217735406,840.4106798876521,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1144647.7220254834
5813,0.0519,0.0781,0.0816,0.127,0.245,0.2872,0.289,0.3208,0.2476,0.15,0.559633,-0.077152446,-0.5745029,-0.017460087,-7.8321808611155195,-14.428756858961007,-6.596575997845488,426,55.669613,10.948389,5.129407,95.90419,557.7414143146763,898.0164615723229,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1144747.7220254834
5814,0.0382,0.051,0.0438,0.0429,0.0391,0.0399,0.0337,0.0433,0.0506,0.0332,-0.13032258,0.2004745,0.20425028,0.1352977,-16.84305530675736,-22.51230089047342,-5.669245583716059,651,55.669613,8.5,1.862207,94.92304,220.38388317827543,936.3998116457303,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1144847.7220254834
5815,0.0394,0.0559,0.0448,0.0735,0.1082,0.1222,0.0875,0.1429,0.1013,0.0619,0.32275134,0.07309323,-0.22036262,0.07032966,-12.60278654845064,-19.888007235342595,-7.285220686891956,2934,55.669613,9.5699005,1.5290288,93.490654,200.023882766528,971.8654497189349,2.0,366.6706628224864,183.3353314112432,13.975561481303675,0.5479658279484934,False,False,,446548.27082237665,1144947.7220254834
